First Name,Last Name,Display Name,Nickname,Primary Email,Secondary Email,Screen Name,Work Phone,Home Phone,Fax Number,Pager Number,Mobile Number,Home Address,Home Address 2,Home City,Home State,Home ZipCode,Home Country,Work Address,Work Address 2,Work City,Work State,Work ZipCode,Work Country,Job Title,Department,Organization,Web Page 1,Web Page 2,Birth Year,Birth Month,Birth Day,Custom 1,Custom 2,Custom 3,Custom 4,Notes,
Ivan,Jovanovic,Ivan Jovanovic,,ajvanho@mail.ru,,,,011/310-2955,,,064/555-555,Tosin bunar 241,,Beograd,,,,,,,,,,,,,,,,,,,,,,,
Marko,Misic,Marko Misic,,marko.misic@etf.rs,,,,,,,,,,,,,,Bulevar kralja Aleksandra 73,,Beograd,,11000,,Asistent,RTI,Elektrotehnicki fakultet,http://www.etf.rs,,,,,,,,,,
Nikola,Nikolic,Nikola Nikolic,,nik@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oo1pp2,Lista,oo1pp2 Lista,,oo1pp2@lists.etf.rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lista za predmet PP2,
Petar,Peric,Petar Peric,Peca,peraperic@etf.rs,,,011/222-555,013/777-555,011/888-555,060/112,064/999-999,Programskog jezika C 38,,Pancevo,Vojvodina,26000,Srbija,Bulevar Kralja Aleksandra,,Beograd,Beograd,11000,Srbija,Dipl. ing,RTI,Elektrotehnicki fakultet,http://home.etf.rs/~pera,http://www.panet.rs/~pera,,,,,,,,Pera je mnogo dobar covek,
Marko,Misic,Marko Misic,,marko.misic@etf.bg.ac.rs,"marko1@yahoo.com, marko2@yahoo.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oo1pp2,Lista,oo1pp2 Lista,,13e111pp2@lists.etf.rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika,Petrovic,Mika Petrovic,,mika@gmail.com,,,,,,,064/333-555,,,,,,,,,,,,,,,,,,,,,,,,,,
Radovan,Radic,Radovan Radic,Rale Zmaj,ralezmaj@gmail.com,,,011/111-555,,,,,,,,,,,,,,,,,,,Zmaj Software,,,,,,,,,,,
Nikola,Teslic,Nikola Teslic,,nikola.teslic@gmail.com,nikola.teslic@rtrk.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pero,Antic,Pero Antic,,pera.antic@nba.com,,,,,,,,,,,,,,,,,,,,,,MK Basketball,,,,,,,,,,,
